[20241221 08:36:05 INFO    ] {'dataset_name': 'livec', 'livec_path': '../all_dataset/LIVEC/Images/', 'livec_label': './data/livec/livec_label.txt', 'batch_size': 16, 'learning_rate': 1e-05, 'weight_decay': 1e-05, 'n_epoch': 300, 'val_freq': 1, 'T_max': 50, 'eta_min': 0, 'num_avg_val': 1, 'num_workers': 8, 'split_seed': 20, 'train_keep_ratio': 1.0, 'val_keep_ratio': 1.0, 'crop_size': 224, 'prob_aug': 0.7, 'patch_size': 8, 'img_size': 224, 'embed_dim': 768, 'dim_mlp': 768, 'num_heads': [4, 4], 'window_size': 4, 'depths': [2, 2], 'num_outputs': 1, 'num_tab': 2, 'scale': 0.8, 'model_name': 'livec', 'type_name': 'LIVEC', 'ckpt_path': './output_way2/models/LIVEC/livec', 'log_path': './output_way2/log/LIVEC', 'log_file': 'livec.log', 'tensorboard_path': './output_way2/tensorboard/LIVEC/livec'}
[20241221 08:46:07 INFO    ] train epoch:9 / loss:0.004644 / SRCC:0.9388 / PLCC:0.954
[20241221 08:46:07 INFO    ] Starting eval...
[20241221 08:46:07 INFO    ] Running testing in epoch 9
[20241221 08:46:14 INFO    ] Epoch:9 ===== loss:0.01349 ===== SRCC:0.9098 ===== PLCC:0.9152
[20241221 08:46:14 INFO    ] Eval done...
[20241221 08:46:14 INFO    ] ======================================================================================
[20241221 08:46:14 INFO    ] ============================== best main score is 1.825058122925618 =================================
[20241221 08:46:14 INFO    ] ======================================================================================
[20241221 08:46:15 INFO    ] Saving weights and model of epoch9, SRCC:0.9098206278026907, PLCC:0.9152374951229274
[20241221 08:46:15 INFO    ] Epoch 9 done. Time: 1.1min
[20241221 08:46:15 INFO    ] Running training epoch 10
[20241221 08:47:14 INFO    ] train epoch:10 / loss:0.003074 / SRCC:0.961 / PLCC:0.9701
[20241221 08:47:14 INFO    ] Starting eval...
[20241221 08:47:14 INFO    ] Running testing in epoch 10
[20241221 08:47:21 INFO    ] Epoch:10 ===== loss:0.0106 ===== SRCC:0.9094 ===== PLCC:0.9206
[20241221 08:47:21 INFO    ] Eval done...
[20241221 08:47:21 INFO    ] ======================================================================================
[20241221 08:47:21 INFO    ] ============================== best main score is 1.8300152086793235 =================================
[20241221 08:47:21 INFO    ] ======================================================================================
[20241221 08:47:22 INFO    ] Saving weights and model of epoch10, SRCC:0.9093860773008756, PLCC:0.920629131378448
[20241221 08:47:22 INFO    ] Epoch 10 done. Time: 1.1min
[20241221 08:47:22 INFO    ] Running training epoch 11
[20241221 08:48:22 INFO    ] train epoch:11 / loss:0.003377 / SRCC:0.954 / PLCC:0.9667
[20241221 08:48:22 INFO    ] Starting eval...
[20241221 08:48:22 INFO    ] Running testing in epoch 11
[20241221 08:48:28 INFO    ] Epoch:11 ===== loss:0.01026 ===== SRCC:0.9098 ===== PLCC:0.9204
[20241221 08:48:28 INFO    ] Eval done...
[20241221 08:48:28 INFO    ] ======================================================================================
[20241221 08:48:28 INFO    ] ============================== best main score is 1.8301524012723958 =================================
[20241221 08:48:28 INFO    ] ======================================================================================
[20241221 08:48:29 INFO    ] Saving weights and model of epoch11, SRCC:0.9097715139867608, PLCC:0.9203808872856349
[20241221 08:48:29 INFO    ] Epoch 11 done. Time: 1.1min
[20241221 08:48:29 INFO    ] Running training epoch 12
[20241221 08:49:29 INFO    ] train epoch:12 / loss:0.002304 / SRCC:0.9688 / PLCC:0.9775
[20241221 08:49:29 INFO    ] Starting eval...
[20241221 08:49:29 INFO    ] Running testing in epoch 12
[20241221 08:49:35 INFO    ] Epoch:12 ===== loss:0.01051 ===== SRCC:0.9142 ===== PLCC:0.9239
[20241221 08:49:35 INFO    ] Eval done...
[20241221 08:49:35 INFO    ] ======================================================================================
[20241221 08:49:35 INFO    ] ============================== best main score is 1.83813390462506 =================================
[20241221 08:49:35 INFO    ] ======================================================================================
[20241221 08:49:36 INFO    ] Saving weights and model of epoch12, SRCC:0.9142451420029897, PLCC:0.9238887626220703
[20241221 08:49:36 INFO    ] Epoch 12 done. Time: 1.1min
[20241221 08:49:36 INFO    ] Running training epoch 13
[20241221 08:50:36 INFO    ] train epoch:13 / loss:0.002789 / SRCC:0.9643 / PLCC:0.9733
[20241221 08:50:36 INFO    ] Starting eval...
[20241221 08:50:36 INFO    ] Running testing in epoch 13
[20241221 08:50:42 INFO    ] Epoch:13 ===== loss:0.01042 ===== SRCC:0.9086 ===== PLCC:0.9198
[20241221 08:50:42 INFO    ] Eval done...
[20241221 08:50:42 INFO    ] Epoch 13 done. Time: 1.1min
[20241221 08:50:42 INFO    ] Running training epoch 14
[20241221 08:51:42 INFO    ] train epoch:14 / loss:0.002104 / SRCC:0.971 / PLCC:0.9794
[20241221 08:51:42 INFO    ] Starting eval...
[20241221 08:51:42 INFO    ] Running testing in epoch 14
[20241221 08:51:49 INFO    ] Epoch:14 ===== loss:0.011 ===== SRCC:0.9124 ===== PLCC:0.9217
[20241221 08:51:49 INFO    ] Eval done...
[20241221 08:51:49 INFO    ] Epoch 14 done. Time: 1.1min
[20241221 08:51:49 INFO    ] Running training epoch 15
[20241221 08:52:48 INFO    ] train epoch:15 / loss:0.001842 / SRCC:0.977 / PLCC:0.9822
[20241221 08:52:48 INFO    ] Starting eval...
[20241221 08:52:48 INFO    ] Running testing in epoch 15
[20241221 08:52:54 INFO    ] Epoch:15 ===== loss:0.01161 ===== SRCC:0.9119 ===== PLCC:0.9201
[20241221 08:52:54 INFO    ] Eval done...
[20241221 08:52:54 INFO    ] Epoch 15 done. Time: 1.1min
[20241221 08:52:54 INFO    ] Running training epoch 16
[20241221 08:53:54 INFO    ] train epoch:16 / loss:0.002546 / SRCC:0.9688 / PLCC:0.9751
[20241221 08:53:54 INFO    ] Starting eval...
[20241221 08:53:54 INFO    ] Running testing in epoch 16
[20241221 08:54:01 INFO    ] Epoch:16 ===== loss:0.01156 ===== SRCC:0.9092 ===== PLCC:0.9173
[20241221 08:54:01 INFO    ] Eval done...
[20241221 08:54:01 INFO    ] Epoch 16 done. Time: 1.1min
[20241221 08:54:01 INFO    ] Running training epoch 17
[20241221 08:55:00 INFO    ] train epoch:17 / loss:0.00168 / SRCC:0.979 / PLCC:0.9835
[20241221 08:55:00 INFO    ] Starting eval...
[20241221 08:55:00 INFO    ] Running testing in epoch 17
[20241221 08:55:07 INFO    ] Epoch:17 ===== loss:0.01009 ===== SRCC:0.9103 ===== PLCC:0.9202
[20241221 08:55:07 INFO    ] Eval done...
[20241221 08:55:07 INFO    ] Epoch 17 done. Time: 1.1min
[20241221 08:55:07 INFO    ] Running training epoch 18
